run_id,run_name,train_dataset,step_tag,logsteps,pretrained,freeze,timestamp,benchmark,auc_steps,auc,auc_normalized,auc_points,flow_recall,flow_precision,flow_outside,resnet_recall,resnet_precision,resnet_outside,dino_recall,dino_precision,dino_outside,flow_mmd,feature_mmd,dino_mmd,flow_recall_logit,flow_precision_logit,flow_outside_logit,resnet_recall_logit,resnet_precision_logit,resnet_outside_logit,dino_recall_logit,dino_precision_logit,dino_outside_logit,baseline_value,auc_delta,baseline_train_dataset,flow_recall_logit_z,flow_precision_logit_z,resnet_recall_logit_z,resnet_precision_logit_z,flow_mmd_z,feature_mmd_z,prediction,target,fold
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings,logsteps,100,True,False,2025_12_10_01_43,middlebury,5000,208389.55,41.67791,5,0.2939051270163976,0.06509054533850193,0.9349094546614981,0.34331084808352363,0.41708274420570207,0.5829172557942979,0.08808511052792434,0.08037156123835107,0.9196284387616489,0.0860338509082794,0.0204798858612775,0.0002459011448081,-0.8764925914239373,-2.6646703788934816,2.664670378893482,-0.6485744745827918,-0.3347606184995471,0.334760618499547,-2.3372431506067426,-2.4373093198822384,2.437309319882238,34.53024666666666,7.147663333333334,spair,0.8171993574867937,-0.4349759881892087,0.5345836645812619,1.4172298204700426,-1.1736722623834415,-1.2402345088867814,14.798628956377497,7.147663333333334,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings,logsteps,100,True,False,2025_12_10_01_43,pfpascal,5000,167096.84999999998,33.419369999999994,5,0.24264278032587078,0.16238122991347065,0.8376187700865294,0.359136189177216,0.2024012012866136,0.7975987987133863,0.09026680299790843,0.06082428466367857,0.9391757153363214,0.203537255525589,0.0530802756547927,0.0001394387218169,-1.1382447087775276,-1.6406162269758933,1.6406162269758937,-0.5791152971418884,-1.3713538399136087,1.3713538399136085,-2.310381603729249,-2.7370134639490327,2.7370134639490318,23.19225,10.227119999999992,spair,0.6555810296672984,0.3891351335290765,0.6714252937131264,-0.9668754191841084,-0.5830353731126792,-0.3604125753822985,5.117945547419424,10.227119999999992,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings,logsteps,100,True,False,2025_12_10_01_43,pfwillow,5000,183633.3,36.726659999999995,5,0.18920094189643627,0.09290600954962061,0.9070939904503794,0.3231465107329058,0.36291376886619464,0.6370862311338054,0.06958807652430113,0.0,1.0,0.3096532523632049,0.1238195747137069,0.0002291563287144,-1.4552106179730495,-2.278657740487488,2.2786577404874886,-0.7393490237936415,-0.5627397623948225,0.5627397623948226,-2.593034178193553,-13.815509557963773,13.815509557935018,27.67815333333333,9.048506666666665,spair,0.4598710551391263,-0.12433098192805653,0.35574858971600304,0.8928908027489486,-0.04963787303034863,1.548705299188207,-0.17758728114203626,9.048506666666665,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings,logsteps,100,True,False,2025_12_10_01_43,pointodyssey,5000,174928.44999999998,34.98569,5,0.40821553999407034,0.01608808594308474,0.9839119140569152,0.25145673986796657,0.36726840198275523,0.6327315980172448,0.09677305506021487,1.344932524977046e-06,0.999998655067475,0.2475492507219314,0.0285462290048599,0.0018444653833284,-0.3713471615497896,-4.113457380292875,4.113457380292874,-1.0908580316897827,-0.5439533951456732,0.5439533951456732,-2.233605246422328,-13.519165368538776,13.519165368509897,24.839123333333333,10.146566666666665,spair,1.1291004053458822,-1.6008923399938249,-0.33675983130522513,0.9360983750806158,-0.36180682217809595,-1.022539393403561,10.995222280038035,10.146566666666665,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings,logsteps,100,True,False,2025_12_10_01_43,spair,5000,59588.5,11.9177,5,0.07241743541234077,0.11414317314361418,0.8858568268563858,0.3639400558766407,0.2765998229205412,0.7234001770794588,0.0765587459115823,0.0,1.0,0.3054104149341583,0.0825123786926269,0.0004732325032819,-2.5501347179315546,-2.0491017774026505,2.04910177740265,-0.5583036382473445,-0.9613907852757672,0.9613907852757672,-2.490048818822038,-13.815509557963773,13.815509557935018,16.234553333333334,-4.316853333333334,spair,-0.21618766757031316,0.060404973568749264,0.7124263739589882,-0.02398379454721153,-0.07096471295413811,0.4339033811404492,1.0241094743228187,-4.316853333333334,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_01_43,flyingthings,logsteps,100,True,False,2025_12_10_01_43,tss,5000,255616.45,51.123290000000004,5,0.2824930841835783,0.1899262150412935,0.8100737849587065,0.35936281164093814,0.3934301028196687,0.6065698971803313,0.07126981309162128,0.016555393424538448,0.9834446065754615,0.1674795448780059,0.0387242063879966,0.0002132682420779,-0.9321285168351131,-1.450489681211105,1.4504896812111052,-0.5781307923344422,-0.43291654588689243,0.4329165458868923,-2.5673454037603363,-4.084349378080414,4.084349378080411,39.87302333333333,11.250266666666676,spair,0.7828470652396301,0.5421401290219828,0.6733648681034755,1.1914767903006445,-0.7642813048409963,-0.7478553237616238,5.500417223807457,11.250266666666676,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,flyingthings,5000,358527.39999999997,71.70548,5,0.2922647872483768,0.3599964011268182,0.6400035988731818,0.4057849136901841,0.37436925073848204,0.625630749261518,0.12737671537441497,0.14758204222145818,0.8524179577785418,0.120961382985115,0.0060516977682709,0.0001790069800335,-0.884409833438566,-0.5753797650470166,0.5753797650470166,-0.3814181019971683,-0.5135177278632456,0.5135177278632457,-1.9243549859528395,-1.7536927277183598,1.7536927277183598,53.90556,17.799919999999993,spair,0.8123108720438355,1.2463878617090913,1.0609088328958463,1.006098672537145,-0.9981072312002686,-1.6296236059300486,27.997494109200733,17.799919999999993,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,kitti2012,5000,385347.94999999995,77.06958999999999,5,0.4061777735434162,0.062277533608699816,0.9377224663913002,0.37591873432511413,0.2106714357042166,0.7893285642957835,0.0946537763232718,0.09148756519612072,0.9085124348038793,0.3795063495635986,0.0222196206450462,0.0002735433517955,-0.3797890628722786,-2.711853282655035,2.711853282655035,-0.5069076054272054,-1.3208829224035434,1.3208829224035439,-2.2580916635157178,-2.295605511373138,2.2956055113731386,64.06846666666667,13.001123333333325,spair,1.123887970049648,-0.4729465932319671,0.8136817749174355,-0.8507951898326618,0.3014823023444759,-1.1932824070580832,14.865693755194275,13.001123333333325,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,middlebury,5000,209086.35,41.81727,5,0.2939051270163976,0.06509054533850193,0.9349094546614981,0.34331084808352363,0.41708274420570207,0.5829172557942979,0.08808511052792434,0.08037156123835107,0.9196284387616489,0.0860338509082794,0.0204798858612775,0.0002459011448081,-0.8764925914239373,-2.6646703788934816,2.664670378893482,-0.6485744745827918,-0.3347606184995471,0.334760618499547,-2.3372431506067426,-2.4373093198822384,2.437309319882238,37.7005,4.1167700000000025,spair,0.8171993574867937,-0.4349759881892087,0.5345836645812619,1.4172298204700426,-1.1736722623834415,-1.2402345088867814,14.798628956377497,4.1167700000000025,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,pfpascal,5000,187974.85,37.59497,5,0.24264278032587078,0.16238122991347065,0.8376187700865294,0.359136189177216,0.2024012012866136,0.7975987987133863,0.09026680299790843,0.06082428466367857,0.9391757153363214,0.203537255525589,0.0530802756547927,0.0001394387218169,-1.1382447087775276,-1.6406162269758933,1.6406162269758937,-0.5791152971418884,-1.3713538399136087,1.3713538399136085,-2.310381603729249,-2.7370134639490327,2.7370134639490318,27.819223333333337,9.775746666666667,spair,0.6555810296672984,0.3891351335290765,0.6714252937131264,-0.9668754191841084,-0.5830353731126792,-0.3604125753822985,5.117945547419424,9.775746666666667,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,pfwillow,5000,206177.84999999998,41.235569999999996,5,0.18920094189643627,0.09290600954962061,0.9070939904503794,0.3231465107329058,0.36291376886619464,0.6370862311338054,0.06958807652430113,0.0,1.0,0.3096532523632049,0.1238195747137069,0.0002291563287144,-1.4552106179730495,-2.278657740487488,2.2786577404874886,-0.7393490237936415,-0.5627397623948225,0.5627397623948226,-2.593034178193553,-13.815509557963773,13.815509557935018,32.30222,8.933349999999997,spair,0.4598710551391263,-0.12433098192805653,0.35574858971600304,0.8928908027489486,-0.04963787303034863,1.548705299188207,-0.17758728114203626,8.933349999999997,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,pointodyssey,5000,194448.65,38.88973,5,0.40821553999407034,0.01608808594308474,0.9839119140569152,0.25145673986796657,0.36726840198275523,0.6327315980172448,0.09677305506021487,1.344932524977046e-06,0.999998655067475,0.2475492507219314,0.0285462290048599,0.0018444653833284,-0.3713471615497896,-4.113457380292875,4.113457380292874,-1.0908580316897827,-0.5439533951456732,0.5439533951456732,-2.233605246422328,-13.519165368538776,13.519165368509897,24.515383333333332,14.374346666666668,spair,1.1291004053458822,-1.6008923399938249,-0.33675983130522513,0.9360983750806158,-0.36180682217809595,-1.022539393403561,10.995222280038035,14.374346666666668,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,spair,5000,67824.6,13.56492,5,0.07241743541234077,0.11414317314361418,0.8858568268563858,0.3639400558766407,0.2765998229205412,0.7234001770794588,0.0765587459115823,0.0,1.0,0.3054104149341583,0.0825123786926269,0.0004732325032819,-2.5501347179315546,-2.0491017774026505,2.04910177740265,-0.5583036382473445,-0.9613907852757672,0.9613907852757672,-2.490048818822038,-13.815509557963773,13.815509557935018,19.357693333333334,-5.792773333333333,spair,-0.21618766757031316,0.060404973568749264,0.7124263739589882,-0.02398379454721153,-0.07096471295413811,0.4339033811404492,1.0241094743228187,-5.792773333333333,flyingthings
snapshots/flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_01_43,flyingthings,logsteps,100,True,True,2025_12_10_01_43,tss,5000,263145.85,52.629169999999995,5,0.2824930841835783,0.1899262150412935,0.8100737849587065,0.35936281164093814,0.3934301028196687,0.6065698971803313,0.07126981309162128,0.016555393424538448,0.9834446065754615,0.1674795448780059,0.0387242063879966,0.0002132682420779,-0.9321285168351131,-1.450489681211105,1.4504896812111052,-0.5781307923344422,-0.43291654588689243,0.4329165458868923,-2.5673454037603363,-4.084349378080414,4.084349378080411,43.74900333333333,8.880166666666668,spair,0.7828470652396301,0.5421401290219828,0.6733648681034755,1.1914767903006445,-0.7642813048409963,-0.7478553237616238,5.500417223807457,8.880166666666668,flyingthings
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,flyingthings,5000,332435.94999999995,66.48718999999998,5,0.2922647872483768,0.3599964011268182,0.6400035988731818,0.4057849136901841,0.37436925073848204,0.625630749261518,0.12737671537441497,0.14758204222145818,0.8524179577785418,0.120961382985115,0.0060516977682709,0.0001790069800335,-0.884409833438566,-0.5753797650470166,0.5753797650470166,-0.3814181019971683,-0.5135177278632456,0.5135177278632457,-1.9243549859528395,-1.7536927277183598,1.7536927277183598,2.08833,64.39885999999998,spair,0.8123108720438355,1.2463878617090913,1.0609088328958463,1.006098672537145,-0.9981072312002686,-1.6296236059300486,27.997494109200733,64.39885999999998,flyingthings
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,kitti2012,5000,356160.25,71.23205,5,0.4061777735434162,0.062277533608699816,0.9377224663913002,0.37591873432511413,0.2106714357042166,0.7893285642957835,0.0946537763232718,0.09148756519612072,0.9085124348038793,0.3795063495635986,0.0222196206450462,0.0002735433517955,-0.3797890628722786,-2.711853282655035,2.711853282655035,-0.5069076054272054,-1.3208829224035434,1.3208829224035439,-2.2580916635157178,-2.295605511373138,2.2956055113731386,4.8632566666666674,66.36879333333333,spair,1.123887970049648,-0.4729465932319671,0.8136817749174355,-0.8507951898326618,0.3014823023444759,-1.1932824070580832,14.865693755194275,66.36879333333333,flyingthings
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,middlebury,5000,209441.59999999998,41.88831999999999,5,0.2939051270163976,0.06509054533850193,0.9349094546614981,0.34331084808352363,0.41708274420570207,0.5829172557942979,0.08808511052792434,0.08037156123835107,0.9196284387616489,0.0860338509082794,0.0204798858612775,0.0002459011448081,-0.8764925914239373,-2.6646703788934816,2.664670378893482,-0.6485744745827918,-0.3347606184995471,0.334760618499547,-2.3372431506067426,-2.4373093198822384,2.437309319882238,1.9837666666666667,39.904553333333325,spair,0.8171993574867937,-0.4349759881892087,0.5345836645812619,1.4172298204700426,-1.1736722623834415,-1.2402345088867814,14.798628956377497,39.904553333333325,flyingthings
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,pfpascal,5000,61360.0,12.272,5,0.24264278032587078,0.16238122991347065,0.8376187700865294,0.359136189177216,0.2024012012866136,0.7975987987133863,0.09026680299790843,0.06082428466367857,0.9391757153363214,0.203537255525589,0.0530802756547927,0.0001394387218169,-1.1382447087775276,-1.6406162269758933,1.6406162269758937,-0.5791152971418884,-1.3713538399136087,1.3713538399136085,-2.310381603729249,-2.7370134639490327,2.7370134639490318,1.9410966666666667,10.330903333333334,spair,0.6555810296672984,0.3891351335290765,0.6714252937131264,-0.9668754191841084,-0.5830353731126792,-0.3604125753822985,5.117945547419424,10.330903333333334,flyingthings
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,pfwillow,5000,68583.35,13.71667,5,0.18920094189643627,0.09290600954962061,0.9070939904503794,0.3231465107329058,0.36291376886619464,0.6370862311338054,0.06958807652430113,0.0,1.0,0.3096532523632049,0.1238195747137069,0.0002291563287144,-1.4552106179730495,-2.278657740487488,2.2786577404874886,-0.7393490237936415,-0.5627397623948225,0.5627397623948226,-2.593034178193553,-13.815509557963773,13.815509557935018,3.3644433333333335,10.352226666666667,spair,0.4598710551391263,-0.12433098192805653,0.35574858971600304,0.8928908027489486,-0.04963787303034863,1.548705299188207,-0.17758728114203626,10.352226666666667,flyingthings
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,pointodyssey,5000,130240.70000000001,26.048140000000004,5,0.40821553999407034,0.01608808594308474,0.9839119140569152,0.25145673986796657,0.36726840198275523,0.6327315980172448,0.09677305506021487,1.344932524977046e-06,0.999998655067475,0.2475492507219314,0.0285462290048599,0.0018444653833284,-0.3713471615497896,-4.113457380292875,4.113457380292874,-1.0908580316897827,-0.5439533951456732,0.5439533951456732,-2.233605246422328,-13.519165368538776,13.519165368509897,2.2678866666666666,23.780253333333338,spair,1.1291004053458822,-1.6008923399938249,-0.33675983130522513,0.9360983750806158,-0.36180682217809595,-1.022539393403561,10.995222280038035,23.780253333333338,flyingthings
snapshots/flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings_steps100_pretrainedFalse_freezeFalse_2025_12_10_19_41,flyingthings,steps,100,False,False,2025_12_10_19_41,spair,5000,13430.75,2.68615,5,0.07241743541234077,0.11414317314361418,0.8858568268563858,0.3639400558766407,0.2765998229205412,0.7234001770794588,0.0765587459115823,0.0,1.0,0.3054104149341583,0.0825123786926269,0.0004732325032819,-2.5501347179315546,-2.0491017774026505,2.04910177740265,-0.5583036382473445,-0.9613907852757672,0.9613907852757672,-2.490048818822038,-13.815509557963773,13.815509557935018,2.0635033333333332,0.6226466666666668,spair,-0.21618766757031316,0.060404973568749264,0.7124263739589882,-0.02398379454721153,-0.07096471295413811,0.4339033811404492,1.0241094743228187,0.6226466666666668,flyingthings
